target_junction,Step 0,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20,Step 21,Step 22,Step 23,Step 24,Step 25,Step 26,Step 27,Step 28,Step 29,Step 30,Step 31,Step 32,Step 33,Step 34,Step 35,Step 36,Step 37,Step 38,Step 39,Step 40,Step 41,Step 42,Step 43,Step 44,Step 45,Step 46,Step 47,Step 48,Step 49,x,y
1137585389,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,212007.83,452669.03
1137585395,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,1,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,2,212060.38,452807.52
1200363969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212989.38,451522.35
1205464844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,213399.22,452105.64
1423242665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,212088.44,451922.56
1427494803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213110.57,453235.06
1427494830,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,212991.19,453340.21
1509951406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212193.59,452965.96
1516302011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,2,0,1,0,1,0,1,3,0,212424.48,452104.45
1516302036,0,0,0,0,3,8,7,3,3,8,7,14,3,7,13,5,4,2,9,8,2,0,0,0,4,1,0,0,5,0,2,6,10,4,6,3,8,7,1,6,5,11,10,3,3,9,7,5,4,7,212392.02,452249.83
1602381826,0,0,0,0,4,3,3,5,0,2,6,2,2,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5,6,0,1,1,0,1,0,0,0,0,0,1,6,1,3,1,1,3,1,211873.42,452209.34
1602381828,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211918.08,452215.14
1602381830,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,1,0,4,211916.36,452225.77
1782978693,0,0,0,3,9,0,4,0,3,11,2,0,5,1,6,0,1,3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,5,5,5,8,0,1,0,3,3,0,5,10,1,211882.9,452257.95
1782978746,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,4,211987.98,452434.73
1815670952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211723.16,451682.62
1833941877,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,213171.38,451686.57
1833941883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,213124.36,451697.44
1833965795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213424.16,452058.49
1833965819,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,213421.56,452069.0
1840038411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211704.89,451266.14
1840464353,0,0,0,0,0,0,0,1,1,0,1,5,6,2,6,1,4,4,2,5,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,2,0,3,1,0,0,2,0,0,0,213343.24,452435.17
1840464393,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2,1,1,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,213385.94,452470.45
1863241546,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211854.51,452218.73
1863241614,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,1,2,1,1,1,0,0,0,0,1,0,0,0,2,1,0,2,0,4,1,0,7,4,1,0,1,2,2,0,0,2,0,2,211859.48,452368.23
1863241632,0,0,5,0,1,2,0,7,1,2,4,4,6,3,5,5,1,2,2,2,1,0,1,2,2,0,4,5,3,3,2,0,2,3,1,5,8,2,5,0,0,2,3,5,2,5,7,5,3,1,211854.06,452380.69
194342319,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,1,1,0,1,0,0,212065.35,451262.37
194342350,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,0,0,2,0,1,0,212494.81,451334.42
194342352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,212551.74,451351.45
194342361,0,0,0,1,0,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,212729.79,451411.84
195635398,0,1,1,0,0,1,2,0,4,2,5,5,3,1,4,5,4,4,4,4,6,5,2,5,5,8,4,3,2,3,2,2,0,0,0,1,3,3,5,5,4,5,8,4,8,12,6,11,9,2,211968.65,452230.44
2113472091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,212725.05,451713.44
2230685408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,213397.93,452206.54
2277358892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211756.59,452687.56
2278775935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,212294.4,451816.22
2278775936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,212206.96,451813.48
2330725114,0,4,3,4,1,5,5,5,6,4,7,2,9,7,3,5,2,4,1,2,4,1,2,4,3,6,6,2,8,1,3,3,2,8,7,4,8,1,3,1,9,12,5,1,3,7,15,1,7,8,211730.78,452677.54
2337351360,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211987.12,452728.88
