edge_id,from_junction,to_junction,flow_volume
-104010328,1200363969,320006202,0
-10427692#1,89173755,89173763,0
-10427692#4,267783904,89173755,15
-10427692#7,1782978609,267783904,1
-10427692#8,313321254,1782978609,0
-120125554,267783914,267783911,0
-128361102#1,356694630,434068771,0
-129379918#1,497590081,89127267,0
-129379921#1,497590907,cluster_1427494838_273472399,0
-129379925,30624895,497590081,0
-136436466,30503246,30624898,0
-136436468#2,243749518,292578363,0
-136728347#4,274579651,273906289,0
-137454133#1,243749561,1782978746,0
-137454133#5,307619666,243749561,0
-138300620#6,1516302011,1516302036,0
-160314345#0,267782468,243641575,0
-160314345#1,5497313246,267782468,0
-160314345#2,267782465,5497313246,0
-160314345#3,267782464,267782465,0
-160314345#4,267517559,267782464,0
-160314345#5,267517560,267517559,0
-160314346#0,243641576,267783847,0
-160314346#1,243641575,243641576,0
-160314351#1,267783852,267783861,0
-164051413,cluster_274083968_cluster_1200364014_1200364088,cluster_1526094852_194342371,0
-170018165#0,1863241632,1863241614,0
-170018165#2.164,gneJ22,gneJ23,0
-170018165#2.210,gneJ23,1863241632,0
-170018165#3,2330725114,gneJ22,0
-170425366#6,308796066,1815670952,0
-173203413#7,cluster_497590130_656751589,497590122,0
-174800513,243641585,cluster_1840209209_268417350,0
-18809672#1,243636120,89173763,0
-18809672#4,1815670952,243636120,0
-18809672#6,308796066,273906276,1
-18809673#1.275,gneJ129,89173808,0
-18809673#6,89173831,gneJ129,0
-18813598#1,3079046105,89173808,0
-18813598#6,194342319,3079046105,0
-18813598#7,274604006,194342319,0
-18813598#8,194342350,274604006,0
-201089420#1,273472398,497590173,0
-201089423#1,249176474,32564122,0
-201201945#0.78,gneJ26,243641585,0
-201201945#1,243749518,gneJ26,0
-201201945#2,243749545,243749518,0
-201201945#7,497590178,243749545,0
-201201945#8,497590173,497590178,0
-201238718#0,243641583,243641575,0
-201238718#1,cluster_1840209209_268417350,243641583,0
-201238724,243641583,267783854,0
-201238726#0.98,gneJ11,313321254,0
-201238726#1,cluster_1863241547_1863241548_1976170214,gneJ11,0
-201950247#0,497590145,497590085,0
-201950250#0,292581826,292572194,0
-201950250#1,292581823,292581826,0
-201950250#2,497590085,292581823,0
-201950259#3,503422242,292572191,0
-201950259#6,497590080,503422242,0
-201950263#10,1427494830,292584327,0
-201950263#6,292584327,497590080,0
-201963522#0,364443218,cluster_1815670941_305559016,0
-201963522#3,318410702,364443525,0
-201963522#4,273906267,318410702,0
-201963522#5,364442178,273906267,0
-201963522#9,89173808,364442178,0
-201963533#0,2068408769,89173763,0
-201963533#1,cluster_1500083093_1500083101_1507566574_267783912,gneJ133,0
-201963533#1.120,gneJ133,gneJ132,0
-201963533#1.145,gneJ132,2068408769,0
-201963533#4,1507566567,cluster_1500083093_1500083101_1507566574_267783912,0
-201963533#5,273906289,1507566567,0
-218647947#1,765868917,765868918,0
-218647954,2278775935,2278775936,0
-224251774#0,2903266814,2277358892,0
-224251774#1,2337351365,2903266814,0
-224251776#1,2330725114,2277358892,0
-224892339#3,1137585395,1137585389,0
-224892361#1,2337351360,cluster_2302665030_2337351369,0
-224892361#2,1137585389,2337351360,0
-224892361#6,1782978746,1137585389,0
-224892361#8,1863241632,1782978746,0
-22690205#1,243636071,243351999,0
-22690205#2,243352002,243636071,0
-22690205#3,245975606,243352002,0
-22690206#0,245975614,243352002,0
-22690206#2,243352010,245975614,0
-22716069#0,243636067,243636066,0
-22716069#1,320006204,243636067,0
-22716069#2,194342361,320006204,0
-22716072#3,243636097,243636120,0
-22716072#5,322888900,243636097,0
